id,direction,entry_price,entry_time,entry_time_ts,exit_price,exit_time,exit_time_ts,exit_reason,sl,tps,initial_size,pnl,pnl_percent,cumulative_pnl,tp_hits,r_return
84,long,4004.92,2025-11-03 11:20:00+00:00,1762168800,4011.1,2025-11-03 15:30:00+00:00,1762183800,News Embargo,3998.64,"[np.float64(4094.65), np.float64(4202.51), None, None, None]",49.69,307.08,0.15,31454.16,[],0.31
85,long,3990.69,2025-11-04 12:40:00+00:00,1762260000,3978.77,2025-11-04 13:35:00+00:00,1762263300,SL,3978.92,"[np.float64(4042.83), np.float64(4105.58), None, None, None]",84.96,-1012.72,-0.3,30441.44,[],-1.01
86,long,3967.83,2025-11-05 10:45:00+00:00,1762339500,3966.3,2025-11-05 15:00:00+00:00,1762354800,SL,3966.45,"[np.float64(4020.53), np.float64(4083.95), None, None, None]",84.07,-128.79,-0.04,30312.66,[],-0.13
87,long,4013.36,2025-11-06 13:30:00+00:00,1762435800,3997.25,2025-11-06 14:20:00+00:00,1762438800,SL,3997.4,"[np.float64(4084.36), np.float64(4169.74), None, None, None]",62.65,-1009.36,-0.4,29303.29,[],-1.01
88,long,3999.51,2025-11-07 16:10:00+00:00,1762531800,3999.42,2025-11-07 17:05:00+00:00,1762535100,SL,3999.57,"[np.float64(4078.07), np.float64(4172.52), None, None, None]",56.69,-4.84,-0.0,29298.45,[],-0.0
89,long,4140.06,2025-11-11 12:20:00+00:00,1762863600,4131.9,2025-11-11 14:20:00+00:00,1762870800,SL,4132.05,"[np.float64(4180.28), np.float64(4228.71), None, None, None]",109.65,-894.97,-0.2,28403.48,[],-0.89
90,long,4225.29,2025-11-13 10:55:00+00:00,1763031300,4225.26,2025-11-13 13:30:00+00:00,1763040600,SL,4225.41,"[np.float64(4280.86), np.float64(4347.73), None, None, None]",79.79,-2.61,-0.0,28400.87,[],-0.0
91,short,4078.44,2025-11-17 13:20:00+00:00,1763385600,4043.65,2025-11-17 20:55:00+00:00,1763412900,SL,4043.5,"[np.float64(3976.6), np.float64(3854.21), None, None, None]",43.83,1524.68,0.85,29925.55,[],1.52
92,short,4070.16,2025-11-20 15:55:00+00:00,1763654100,4055.95,2025-11-21 12:30:00+00:00,1763728200,Signal,4077.62,"[np.float64(3918.47), np.float64(3736.26), None, None, None]",29.5,419.19,0.35,30344.74,[],0.42
93,long,4055.95,2025-11-21 12:30:00+00:00,1763728200,4062.17,2025-11-21 21:30:00+00:00,1763760600,Weekend Close,4042.43,"[np.float64(4220.73), np.float64(4418.65), None, None, None]",27.17,169.0,0.15,30513.74,[],0.17
94,short,4140.76,2025-11-25 06:25:00+00:00,1764051900,4133.96,2025-11-25 10:00:00+00:00,1764064800,SL,4133.81,"[np.float64(4071.57), np.float64(3988.36), None, None, None]",64.27,436.77,0.16,30950.51,[],0.44
95,short,4212.69,2025-12-02 06:20:00+00:00,1764656400,4213.87,2025-12-02 13:00:00+00:00,1764680400,SL,4213.72,"[np.float64(4121.22), np.float64(4011.28), None, None, None]",48.76,-57.29,-0.03,30893.21,[],-0.06
96,short,4195.74,2025-12-04 12:00:00+00:00,1764849600,4200.86,2025-12-04 14:05:00+00:00,1764857100,SL,4200.71,"[np.float64(4153.73), np.float64(4103.14), None, None, None]",105.05,-537.9,-0.12,30355.32,[],-0.54
97,short,4194.15,2025-12-04 15:00:00+00:00,1764860400,4219.2,2025-12-04 16:15:00+00:00,1764864900,SL,4219.05,"[np.float64(4082.93), np.float64(3949.29), None, None, None]",40.16,-1005.95,-0.6,29349.37,[],-1.01
98,long,4210.41,2025-12-08 08:45:00+00:00,1765183500,4204.12,2025-12-08 13:20:00+00:00,1765200000,Signal,4197.94,"[np.float64(4265.69), np.float64(4332.21), None, None, None]",80.2,-504.46,-0.15,28844.91,[],-0.5
99,short,4204.12,2025-12-08 13:20:00+00:00,1765200000,4195.76,2025-12-09 09:00:00+00:00,1765270800,SL,4195.61,"[np.float64(4133.54), np.float64(4048.66), None, None, None]",63.02,526.87,0.2,29371.78,[],0.53
100,short,4193.84,2025-12-09 15:05:00+00:00,1765292700,4219.26,2025-12-09 16:10:00+00:00,1765296600,SL,4219.11,"[np.float64(4080.96), np.float64(3945.33), None, None, None]",39.58,-1006.01,-0.61,28365.78,[],-1.01
101,short,4200.65,2025-12-10 13:55:00+00:00,1765374900,4204.89,2025-12-10 16:50:00+00:00,1765385400,SL,4204.74,"[np.float64(4157.44), np.float64(4105.4), None, None, None]",102.19,-433.05,-0.1,27932.72,[],-0.43
102,long,4222.36,2025-12-11 13:45:00+00:00,1765460700,4318.89,2025-12-12 15:20:00+00:00,1765552800,Trail_SL,4319.04,"[np.float64(4318.83), np.float64(4434.78), None, None, None]",46.25,4459.59,2.28,32392.32,[1],4.46
103,short,4320.61,2025-12-17 12:20:00+00:00,1765974000,4328.89,2025-12-17 13:15:00+00:00,1765977300,SL,4328.74,"[np.float64(4283.39), np.float64(4238.54), None, None, None]",118.27,-979.03,-0.19,31413.29,[],-0.98
104,short,4324.7,2025-12-17 16:15:00+00:00,1765988100,4336.78,2025-12-18 14:15:00+00:00,1766067300,News Embargo,4361.63,"[np.float64(4159.33), np.float64(3960.71), None, None, None]",27.08,-327.13,-0.28,31086.16,[],-0.33
105,short,4322.57,2025-12-19 07:55:00+00:00,1766130900,4325.3,2025-12-19 12:15:00+00:00,1766146500,Signal,4334.49,"[np.float64(4269.77), np.float64(4206.24), None, None, None]",83.92,-229.1,-0.06,30857.06,[],-0.23
106,long,4325.3,2025-12-19 12:15:00+00:00,1766146500,4324.38,2025-12-19 14:45:00+00:00,1766155500,SL,4324.53,"[np.float64(4361.86), np.float64(4405.9), None, None, None]",120.38,-110.87,-0.02,30746.19,[],-0.11
107,long,4327.37,2025-12-19 14:45:00+00:00,1766155500,4337.72,2025-12-19 21:30:00+00:00,1766179800,Weekend Close,4328.04,"[np.float64(4406.75), np.float64(4502.18), None, None, None]",56.11,580.74,0.24,31326.93,[],0.58
108,long,4407.3,2025-12-22 12:10:00+00:00,1766405400,4417.69,2025-12-22 13:20:00+00:00,1766409600,SL,4417.84,"[np.float64(4433.84), np.float64(4465.87), None, None, None]",164.43,1708.29,0.24,33035.22,[],1.71
109,short,4478.88,2025-12-23 13:50:00+00:00,1766497800,4470.83,2025-12-23 16:45:00+00:00,1766508300,SL,4470.68,"[np.float64(4367.64), np.float64(4233.96), None, None, None]",40.15,323.34,0.18,33358.56,[],0.32
110,long,4511.03,2025-12-26 12:10:00+00:00,1766751000,4514.77,2025-12-26 14:45:00+00:00,1766760300,SL,4514.92,"[np.float64(4561.89), np.float64(4623.11), None, None, None]",87.06,325.77,0.08,33684.32,[],0.33
111,long,4370.51,2025-12-30 16:50:00+00:00,1767113400,4342.94,2025-12-30 19:50:00+00:00,1767124200,SL,4343.09,"[np.float64(4493.06), np.float64(4640.29), None, None, None]",36.48,-1005.59,-0.63,32678.73,[],-1.01
